num_records,Encode Function without Testing,Encode Function with Testing,Decode Function without Testing,Decode Function with Testing
100,0.0,0.09083414,0.0,0.00300145
1000,0.00298452,0.00599957,0.00200152,0.00399971
2000,0.00699997,0.0090003,0.00498557,0.00748134
3000,0.01107335,0.01307607,0.00799704,0.00999618
4000,0.01500273,0.01700401,0.00950813,0.01150846
5000,0.01799822,0.02000117,0.01599717,0.02110982
6000,0.02490306,0.02690554,0.01602435,0.01902413
7000,0.02556539,0.02856445,0.01798797,0.01998806
8000,0.03010607,0.03209329,0.02017069,0.02217054
9000,0.03351068,0.03651357,0.03001642,0.0330162
10000,0.05058765,0.05458689,0.02400112,0.02644944
